[2019-11-14 11:50:42.838] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\CardInfoServiceImpl.class]
[2019-11-14 11:50:42.839] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\CardRecordServiceImpl.class]
[2019-11-14 11:50:42.839] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\CardServiceImpl.class]
[2019-11-14 11:50:42.840] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\CheckInfoServiceImpl.class]
[2019-11-14 11:50:42.841] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\OrderServiceImpl.class]
[2019-11-14 11:50:42.844] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\RoleServiceImpl.class]
[2019-11-14 11:50:42.845] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\SSFStudentIdCardServiceImpl.class]
[2019-11-14 11:50:42.846] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\UserInfoCheckServiceImpl.class]
[2019-11-14 11:50:42.847] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\impl\UserInfoServiceImpl.class]
[2019-11-14 11:50:42.866] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\DataSourceConfig.class]
[2019-11-14 11:50:42.867] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\DruidConfiguration.class]
[2019-11-14 11:50:42.867] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\ImageProperties.class]
